1.003125,1.003125,1.003125,1.00859375,1.00859375,1.0140625,1.0140625,1.01953125,1.025,1.03046874999999
1.00859375,1.04140625,1.046875,1.0578125,1.06875,1.07421875,1.07421875,1.08515624999999,1.08515624999999,1.090625
1.0578125,1.09609375,1.11796875,1.12890625,1.13984375,1.1453125,1.15625,1.16171875,1.17265625,1.17265625
1.1671875,1.21640625,1.24921874999999,1.27109375,1.2875,1.29296875,1.2984375,1.31484375,1.32578125,1.32578125
1.3203125,1.41328124999999,1.440625,1.45703124999999,1.484375,1.50078125,1.51171875,1.52265625,1.53359374999999,1.53359375
1.50625,1.6046875,1.66484374999999,1.71953125,1.74140625,1.76328125,1.7796875,1.78515625,1.8015625,1.8125
1.75234375,1.9,1.97109375,2.05859375,2.08593749999999,2.12421875,2.140625,2.15703125,2.16796875,2.17890625
2.08046874999999,2.23906249999999,2.3921875,2.44140625,2.51249999999999,2.57265624999999,2.60546875,2.6109375,2.62734375,2.6328125
2.50703124999999,2.60546874999999,2.73124999999999,2.84062499999999,3.0046875,3.103125,3.14140624999999,3.16875,3.18515624999999,3.20156249999999
3.45859375,3.55156249999999,3.5953125,3.67734375,3.7046875,3.75390625,3.79765624999999,3.825,3.8359375,3.846875
